Year,Bungalow,Detached,Semi-detached,Terraced,Flat or Maisonette in converted house,Purpose-built Flat or Maisonette
1986,42000,58000,33000,28000,37000,31000
1987,47000,65000,37000,31000,42000,36000
1988,56000,81000,45000,39000,53000,43000
1989,67000,106000,52000,42000,55000,43000
1990,71000,108000,57000,46000,54000,45000
1991,71000,106000,59000,48000,55000,45000
1992,68000,104000,57000,47000,52000,43000
1993,68000,103000,56000,46000,53000,43000
1994,70000,108000,58000,48000,57000,44000
1995,68000,110000,58000,49000,60000,47000
1996,72000,113000,62000,52000,66000,52000
1997,79000,119000,66000,59000,74000,56000
1998,84000,128000,71000,63000,84000,61000
1999,91000,141000,80000,71000,100000,74000
2000,103000,155000,88000,78000,108000,82000
2001,113000,173000,99000,87000,121000,90000
2002,138000,202000,113000,99000,149000,103000
2003,164000,250000,139000,121000,165000,126000
2004,189000,281000,162000,143000,165000,149000
2005,203000,299000,176000,153000,156000,159000
2006,219000,312000,190000,164000,160000,172000
2007,237000,339000,206000,181000,181000,186000
2008,231000,350000,207000,182000,180000,178000
2009,216000,334000,201000,180000,171000,180000
2010,233000,363000,222000,201000,202000,202000
2011,221000,357000,215000,195000,201000,209000
2012,221000,351000,214000,199000,222000,210000
2013,226000,347000,221000,207000,253000,210000
2014,244000,366000,234000,223000,281000,231000
2015,252000,379000,237000,234000,276000,246000
2016,260000,390000,242000,235000,271000,254000
2017,265000,390000,241000,227000,239000,267000
2018,268000,396000,245000,230000,244000,264000
2019,271000,399000,245000,228000,239000,258000
2020,288000,426000,261000,248000,260000,269000
2021,314000,462000,279000,264000,274000,271000
2022,340000,500000,298000,279000,273000,287000
2023,330000,496000,296000,271000,260000,277000
