Year,FTB Advance/price %,FTB Price/income,FTB Advance/income,FOO Advance/price %,FOO Price/income,FOO Advance/income
1969,79.08,2.53,2.00,63.86,2.73,1.74
1970,80.00,2.45,1.96,66.02,2.69,1.78
1971,80.90,2.42,1.96,66.11,2.70,1.79
1972,81.40,2.67,2.17,61.77,3.26,2.02
1973,77.33,2.89,2.24,52.71,3.82,2.01
1974,72.68,2.80,2.03,50.40,3.61,1.82
1975,76.36,2.54,1.94,53.64,3.21,1.72
1976,79.29,2.38,1.88,56.13,3.03,1.70
1977,78.43,2.26,1.77,56.02,2.92,1.64
1978,79.86,2.28,1.82,56.47,3.05,1.72
1979,75.65,2.37,1.79,49.17,3.39,1.67
1980,73.83,2.26,1.67,46.13,3.33,1.54
1981,79.05,2.20,1.74,51.09,3.20,1.63
1982,85.06,2.06,1.76,56.53,3.01,1.70
1983,85.13,2.19,1.87,57.42,3.12,1.79
1984,84.72,2.27,1.93,58.51,3.14,1.84
1985,85.33,2.27,1.94,59.15,3.10,1.83
1986,86.14,2.35,2.03,60.06,3.19,1.92
1987,84.68,2.42,2.05,58.99,3.32,1.96
1988,87.64,2.86,2.36,65.27,3.97,2.21
1989,86.73,3.02,2.43,64.22,4.12,2.25
1990,86.58,3.03,2.45,64.68,3.88,2.19
1991,86.30,2.99,2.43,67.32,3.74,2.23
1992,86.48,2.87,2.36,68.56,3.61,2.19
1993,85.35,2.92,2.37,69.15,3.53,2.19
1994,85.93,2.92,2.39,69.39,3.59,2.22
1995,89.76,2.74,2.41,68.21,3.58,2.17
1996,90.11,2.72,2.42,67.98,3.53,2.14
1997,89.08,2.79,2.43,68.54,3.59,2.20
1998,85.56,2.94,2.41,68.86,3.60,2.20
1999,83.80,3.07,2.44,68.53,3.69,2.25
2000,83.56,3.13,2.46,68.52,3.87,2.35
2001,83.25,3.23,2.52,67.80,4.00,2.39
2002,81.05,3.56,2.68,68.69,4.17,2.53
2003,77.00,4.10,2.96,65.90,4.74,2.78
2004,78.90,4.57,3.36,63.90,5.41,3.09
2005,80.80,4.50,3.39,65.10,5.28,3.07
2006,83.60,4.05,3.20,64.58,5.13,2.93
2007,82.80,4.29,3.35,64.80,5.24,3.01
2008,78.18,4.45,3.25,63.45,5.20,2.94
2009,72.30,4.47,3.02,60.72,5.04,2.76
2010,72.64,4.53,3.07,60.95,5.16,2.84
2011,74.78,4.47,3.13,62.66,5.09,2.88
2012,77.02,4.40,3.20,63.51,5.09,2.91
2013,78.02,4.45,3.28,64.19,5.02,2.90
2014,78.69,4.52,3.36,65.03,5.20,3.04
2015,79.12,4.45,3.33,65.37,5.14,3.03
2016,79.67,4.52,3.40,65.07,5.37,3.14
2017,79.17,4.71,3.49,65.97,5.55,3.28
2018,79.00,4.76,3.54,66.00,5.62,3.33
2019,80.00,4.71,3.55,67.00,5.55,3.35
2020,79.00,4.79,3.56,67.00,5.53,3.36
2021,78.00,4.90,3.59,65.00,5.84,3.42
2022,79.00,4.89,3.65,66.00,5.79,3.43
